Image,X,Y,Z,Score,longitude,latitude,dTime
PR_20100604_070811_149_LC16.tif,-491.202994123347,97.9372369465848,54.8445645743069,0.9410043,147.224514894832,-43.6156183524391,2707.314
PR_20100604_070812_139_LC16.tif,-490.839657391691,98.7247140052386,55.803848161889,0.9664406,147.224519396622,-43.6156112649787,2708.304
PR_20100604_070813_143_LC16.tif,-490.730095859581,99.6204834230846,55.7628721258201,0.9883265,147.224520754701,-43.6156032026638,2709.308
PR_20100604_070824_184_LC16.tif,-487.911904226065,102.340263599222,56.3901932373122,0.9558598,147.224555669375,-43.6155787250897,2720.349
PR_20100604_070825_139_LC16.tif,-487.847100296088,103.119445119771,56.0502170468802,0.96080923,147.224556472879,-43.6155717120963,2721.304
PR_20100604_070843_153_LC16.tif,-481.388106901819,108.752929459638,57.7327796254751,0.9657914,147.224636492922,-43.6155210120312,2739.318
PR_20100604_070910_153_LC16.tif,-473.613879133919,115.644527360602,57.5922934713354,0.9242337,147.224732807236,-43.6154589890754,2766.318
PR_20100604_071659_201_LC16.tif,-482.167796394492,103.585111782067,56.5590219640984,0.9817124,147.224626829409,-43.6155675245536,3235.366
PR_20100604_071700_205_LC16.tif,-482.039851986852,102.973130949399,56.1959981037417,0.84950614,147.22462841386,-43.6155730327798,3236.37
PR_20100604_071706_198_LC16.tif,-480.920460707969,101.243605903808,56.08374721812,0.95419294,147.22464227952,-43.6155886001214,3242.363
PR_20100604_071707_215_LC16.tif,-481.114369175148,100.826026870368,55.965395567021,0.8230844,147.224639876979,-43.615592358423,3243.38
PR_20100604_071709_209_LC16.tif,-480.22869874205,100.313921004228,55.9687552655781,0.8919673,147.224650848354,-43.6155969682116,3245.374
PR_20100604_071710_236_LC16.tif,-480.168845703193,100.065272454288,56.5945264077993,0.8942507,147.224651589602,-43.6155992062155,3246.401
PR_20100604_071711_243_LC16.tif,-480.188355308151,99.8644394279794,56.4921238730491,0.85721076,147.224651347736,-43.6156010138038,3247.408
PR_20100604_071712_250_LC16.tif,-478.619247789814,99.5195796028698,56.7826826796594,0.9386991,147.224670785793,-43.61560411873,3248.415
PR_20100604_071713_197_LC16.tif,-478.367200224563,99.1231051165012,56.7900316793602,0.9043984,147.224673907849,-43.6156076873669,3249.362
PR_20100604_071747_207_LC16.tif,-481.829394136161,94.5627947979457,56.1434090489861,0.98153234,147.224631013558,-43.6156487302818,3283.372
PR_20100604_071748_211_LC16.tif,-481.72526330275,94.0509636192993,56.4804058882131,0.9768638,147.224632303093,-43.6156533370939,3284.376
PR_20100604_071750_242_LC16.tif,-483.168229102906,93.4251748310115,56.6631845835325,0.9764696,147.224614426821,-43.6156589685813,3286.407
PR_20100604_071751_221_LC16.tif,-483.122781232804,92.899695892905,56.5478222862032,0.9760977,147.224614989368,-43.6156636981924,3287.386
PR_20100604_071752_254_LC16.tif,-483.102540840002,92.4627911375132,56.6464671952957,0.98969483,147.22461523972,-43.6156676305738,3288.419
PR_20100604_071756_228_LC16.tif,-485.387728504869,91.2116383117061,56.6001935979615,0.9707555,147.224586929286,-43.6156788901093,3292.393
PR_20100604_071757_236_LC16.tif,-485.478046221232,90.9351929159266,56.4624538440504,0.9765203,147.224585810166,-43.6156813782016,3293.401
PR_20100604_071758_218_LC16.tif,-485.655158030395,90.5582135466651,56.5099431602969,0.98965925,147.224583615735,-43.615684771095,3294.383
PR_20100604_071759_249_LC16.tif,-485.944220965112,90.2702883807407,56.3189250819311,0.9282465,147.224580034512,-43.6156873623816,3295.414
PR_20100604_071825_213_LC16.tif,-486.844611212917,94.6135625578368,56.3134419633493,0.86844987,147.224568884221,-43.615648270085,3321.378
PR_20100604_071826_209_LC16.tif,-486.800642262747,94.8613187818879,56.3545640630388,0.97877353,147.224569429139,-43.6156460401798,3322.374
PR_20100604_071827_212_LC16.tif,-486.707847743775,95.0239351227795,56.2567397770361,0.973319,147.22457057884,-43.6156445766095,3323.377
PR_20100604_071827_212_LC16.tif,-486.618787484515,93.9511219151025,56.2342163842849,0.9665854,147.224571681169,-43.6156542325401,3323.377
PR_20100604_071828_216_LC16.tif,-486.565552756202,94.1258639102741,56.3383435825406,0.96820307,147.224572340807,-43.6156526598068,3324.381
PR_20100604_071829_219_LC16.tif,-486.396205155299,94.3662646044624,56.4135344542361,0.8943062,147.224574438931,-43.6156504961871,3325.384
PR_20100604_071833_206_LC16.tif,-483.485064081941,95.4372780226815,56.4358984541902,0.9831949,147.224610503611,-43.6156408584088,3329.371
PR_20100604_071834_221_LC16.tif,-483.62519816454,95.6562482288973,56.2130709623057,0.9655623,147.224608767802,-43.615638887473,3330.386
PR_20100604_071852_219_LC16.tif,-476.795376579698,98.3662902663645,57.3974455738491,0.8228711,147.224693379194,-43.6156145000988,3348.384
PR_20100604_071853_223_LC16.tif,-476.764501191576,98.8242370551031,57.2794119194301,0.9673873,147.224693762087,-43.6156103783612,3349.388
PR_20100604_071854_226_LC16.tif,-476.688988318388,99.253318993179,57.1020999244937,0.9472428,147.224694697931,-43.6156065164506,3350.391
PR_20100604_071855_256_LC16.tif,-476.679670512477,99.6464852362939,57.1257472587452,0.92208517,147.224694813708,-43.6156029777575,3351.421
PR_20100604_072013_232_LC16.tif,-478.83249533541,99.5472770158338,56.5849954101248,0.9770901,147.224668144071,-43.6156038693019,3429.397
PR_20100604_072014_236_LC16.tif,-478.731638821611,99.0654393953633,56.2553200870296,0.959812,147.224669393072,-43.615608206154,3430.401
PR_20100604_072028_231_LC16.tif,-483.393352635152,95.1088011761665,56.4315093695266,0.98159444,147.224611639455,-43.6156438149294,3444.396
PR_20100604_072028_231_LC16.tif,-482.992530303022,96.279313344595,56.5065277259297,0.8857658,147.224616605956,-43.6156332799758,3444.396
PR_20100604_072029_255_LC16.tif,-483.403230553911,94.5943875676598,56.3620176325272,0.98276937,147.224611516626,-43.6156484449109,3445.42
PR_20100604_072029_255_LC16.tif,-482.779981883605,95.6516813317649,56.6122020462182,0.9710687,147.224619238482,-43.6156389291256,3445.42
PR_20100604_072030_238_LC16.tif,-483.415474936273,93.9250051034601,56.687958588666,0.99245983,147.224611364343,-43.6156544696906,3446.403
PR_20100604_072030_238_LC16.tif,-482.573029665252,94.9351806312704,56.5922051058745,0.8890875,147.224621801603,-43.6156453781358,3446.403
PR_20100604_072048_246_LC16.tif,-487.570493682332,90.3503029716822,56.109238977094,0.9599907,147.224559888022,-43.6156866411463,3464.411
PR_20100604_072105_225_LC16.tif,-486.0554092272,90.3206061998862,56.533025777638,0.97709113,147.224578657137,-43.6156869094227,3481.39
PR_20100604_072106_228_LC16.tif,-486.167687521762,90.7358409041963,56.4746045204835,0.982402,147.224577266586,-43.6156831720228,3482.393
PR_20100604_072107_232_LC16.tif,-486.185090071511,91.1648790139615,56.6077485370711,0.84420955,147.224577051386,-43.6156793104471,3483.397
PR_20100604_072120_281_LC16.tif,-483.421109331762,95.0393817869181,56.4188646114296,0.97495633,147.224611295538,-43.6156444397217,3496.446
PR_20100604_072121_234_LC16.tif,-483.338999117673,95.7758233477752,56.4900490731126,0.97514504,147.224612313392,-43.6156378114209,3497.399
PR_20100604_072135_276_LC16.tif,-480.054706286352,98.9067987769334,56.4088007142453,0.90891635,147.224653002553,-43.61560963315,3511.441
PR_20100604_072136_252_LC16.tif,-479.840570860219,99.6389913422454,55.9791183228272,0.9033948,147.224655655947,-43.615603043177,3512.417
PR_20100604_072159_279_LC16.tif,-472.288249130915,106.303915844945,57.8632247342532,0.931555,147.224749221168,-43.6155430602429,3535.444
PR_20100604_072200_286_LC16.tif,-472.068065319908,106.613543866158,57.8249855791632,0.9601867,147.224751949109,-43.6155402735704,3536.451
PR_20100604_072201_232_LC16.tif,-471.896511722338,106.902198598741,57.8055852785271,0.99073225,147.224754074593,-43.6155376756375,3537.397
PR_20100604_072202_247_LC16.tif,-471.775278275047,107.371191250199,57.6802098224821,0.9774185,147.22475557686,-43.6155334545383,3538.412
PR_20100604_072203_239_LC16.tif,-471.484939120096,108.000191734007,57.5062018347393,0.9711511,147.224759174173,-43.6155277933931,3539.404
PR_20100604_072304_263_LC16.tif,-479.850915963406,100.239755164364,56.3630243595937,0.9414415,147.224655528323,-43.6155976359859,3600.428
PR_20100604_072305_241_LC16.tif,-480.018250086648,99.6332153363112,56.2480208861502,0.8851542,147.224653454822,-43.6156030950496,3601.406
PR_20100604_072321_250_LC16.tif,-485.769888089977,94.5473342091591,56.4869614655409,0.93596154,147.224582198019,-43.6156488668759,3617.415
PR_20100604_072322_246_LC16.tif,-485.692005149154,94.1250327997141,56.5670043981189,0.9516397,147.224583162467,-43.6156526678573,3618.411
PR_20100604_072323_249_LC16.tif,-485.682015071342,93.926483806287,56.6038376906648,0.97494894,147.224583286048,-43.6156544549072,3619.414
PR_20100604_072324_253_LC16.tif,-485.795217659605,93.8637199891709,56.6020722357544,0.9494948,147.224581883618,-43.6156550197401,3620.418
PR_20100604_072325_277_LC16.tif,-486.057684501821,93.7708312737282,56.5037135212463,0.948997,147.224578632049,-43.6156558556153,3621.442
PR_20100604_072326_283_LC16.tif,-486.243450941668,93.5972623826093,56.4833842056697,0.95131296,147.224576330586,-43.6156574177036,3622.448
PR_20100604_072329_250_LC16.tif,-488.007378453975,93.7983988325587,56.2264968951471,0.91864663,147.224554478923,-43.6156556062183,3625.415
PR_20100604_072330_246_LC16.tif,-487.808815259521,92.9572601396939,56.2913321490885,0.98114634,147.224556938001,-43.6156631770306,3626.411
PR_20100604_072331_250_LC16.tif,-487.674567263644,91.9760366941748,56.3535665064498,0.95601815,147.224558600204,-43.6156720086358,3627.415
PR_20100604_072357_260_LC16.tif,-487.417982413685,94.2363392157596,56.434016365334,0.9056388,147.224561780859,-43.6156516649148,3653.425
PR_20100604_072418_252_LC16.tif,-480.888537865273,100.169181924796,55.9733152132913,0.9376871,147.22464267403,-43.6155982705124,3674.417
PR_20100604_072419_256_LC16.tif,-480.909840604455,100.789579765689,55.833217389314,0.9242691,147.22464241068,-43.6155926865978,3675.421
PR_20100604_072420_276_LC16.tif,-480.021924351239,101.03130150394,55.6340503829564,0.8867676,147.224653410545,-43.6155905115501,3676.441
PR_20100604_072420_276_LC16.tif,-480.947297258828,101.371868634666,55.9041968758296,0.83161354,147.224641947178,-43.6155874456733,3676.441
PR_20100604_072421_263_LC16.tif,-479.722060678016,101.891167109888,56.6212856768662,0.83637387,147.224657126067,-43.615582772509,3677.428
PR_20100604_072620_275_LC16.tif,-486.676809710143,96.3159088298017,56.1382550055219,0.9922748,147.224570964506,-43.6156329481997,3796.44
PR_20100604_072621_278_LC16.tif,-486.496683569503,95.6370381468041,56.0720820586157,0.99265665,147.224573195329,-43.6156390585038,3797.443
PR_20100604_072622_281_LC16.tif,-486.2511377058,94.9081719804392,56.3635920972783,0.9293605,147.224576236539,-43.6156456188358,3798.446
PR_20100604_072623_285_LC16.tif,-488.098047031754,94.6527788008696,56.1563990281814,0.8233972,147.224553356475,-43.6156479162983,3799.45
PR_20100604_072624_288_LC16.tif,-487.792738234905,93.8530525480915,56.4482404208126,0.8736294,147.224557137973,-43.6156551144472,3800.453
PR_20100604_072625_265_LC16.tif,-487.564449947119,93.2322680134156,56.360638992717,0.95678777,147.224559965489,-43.6156607019778,3801.43
PR_20100604_072632_289_LC16.tif,-489.523044407403,93.3914559866314,55.6451880968812,0.94380003,147.224535702219,-43.6156592679194,3808.454
PR_20100604_072633_266_LC16.tif,-489.581411591697,92.8746406505121,55.6175379855368,0.9687405,147.224534978689,-43.6156639194858,3809.431
PR_20100604_072634_270_LC16.tif,-489.617816945617,92.2959260565188,55.5974786678847,0.954564,147.224534527169,-43.6156691281918,3810.435
PR_20100604_072652_279_LC16.tif,-487.922356402956,93.1781694736411,56.3697127711362,0.8781824,147.224555531632,-43.6156611886583,3828.444
PR_20100604_072653_303_LC16.tif,-488.163059070616,93.932565296107,56.1315947644393,0.99392843,147.224552550445,-43.6156543985489,3829.468
PR_20100604_072659_276_LC16.tif,-487.301285667452,94.7732490160869,56.390978978687,0.9756939,147.224563227002,-43.6156468325258,3835.441
PR_20100604_072659_276_LC16.tif,-486.668859275926,95.1650021314089,56.1938093926238,0.9593434,147.224571061962,-43.6156433069591,3835.441
PR_20100604_072700_296_LC16.tif,-487.118446769486,95.5454650415873,56.062502017287,0.9919355,147.224565492737,-43.6156398823027,3836.461
PR_20100604_072701_283_LC16.tif,-487.057513911866,96.2522802715993,56.1304748124477,0.97981346,147.22456624822,-43.6156335206407,3837.448
PR_20100604_072722_276_LC16.tif,-481.38014837191,102.14025399678,55.6115686787109,0.9401851,147.224636585632,-43.6155805295289,3858.441
PR_20100604_072736_297_LC16.tif,-477.597580172741,106.417892792701,57.9703030794741,0.9798695,147.224683448467,-43.6155420310065,3872.462
PR_20100604_072737_275_LC16.tif,-477.393994354182,107.016851479555,57.8120674700673,0.9752906,147.224685971047,-43.6155366401996,3873.44
PR_20100604_072738_278_LC16.tif,-477.24173951761,107.448403422014,57.9588540909017,0.96254104,147.224687857584,-43.6155327561069,3874.443
PR_20100604_072739_281_LC16.tif,-476.959674987917,107.744805569001,57.8584069647908,0.9095103,147.224691352103,-43.6155300885152,3875.446
PR_20100604_072822_296_LC16.tif,-472.007920863115,111.15430358109,57.6718852653704,0.88993573,147.224752698148,-43.615499404427,3918.461
PR_20100604_072901_319_LC16.tif,-482.185072065167,103.22437757324,56.6158588666883,0.9164303,147.224626615074,-43.6155707713365,3957.484
PR_20100604_072902_325_LC16.tif,-482.273343360075,103.007790765974,56.7393920210875,0.9529585,147.224625521362,-43.6155727206724,3958.49
PR_20100604_072903_305_LC16.tif,-482.368347862321,102.781609163524,55.9087236925834,0.85092074,147.22462434423,-43.6155747563621,3959.47
PR_20100604_072916_297_LC16.tif,-485.998930579621,99.2908838542119,56.2432813045477,0.8309545,147.22457936486,-43.6156061723317,3972.462
PR_20100604_072917_300_LC16.tif,-485.941767737138,98.7919971527604,56.2867071536444,0.9417203,147.224580072555,-43.6156106626068,3973.465
PR_20100604_072925_322_LC16.tif,-489.334782659353,96.9508070199977,55.5858265443164,0.869211,147.224538037657,-43.6156272320471,3981.487
PR_20100604_072926_328_LC16.tif,-489.287676153558,96.8578502131779,55.6765332912027,0.8876873,147.224538621136,-43.6156280687373,3982.493
PR_20100604_072927_308_LC16.tif,-489.120147593952,96.5148845055212,55.6238013500575,0.9605368,147.224540696199,-43.6156311557156,3983.473
PR_20100604_072928_311_LC16.tif,-488.889879722979,96.0542696023699,55.7151393365907,0.97605795,147.22454354838,-43.6156353016386,3984.476
PR_20100604_072929_288_LC16.tif,-488.632460594304,95.4591964130488,56.0696833420887,0.95920616,147.224546736795,-43.6156406577733,3985.453
PR_20100604_072930_303_LC16.tif,-488.367118940714,94.9498220606999,56.1683525143454,0.86305124,147.224550023434,-43.6156452425793,3986.468
PR_20100604_072931_309_LC16.tif,-489.750624677924,95.0984319070876,55.7489080992425,0.8889893,147.224532884459,-43.6156439041057,3987.474
PR_20100604_072935_309_LC16.tif,-490.737234998483,93.8776349085517,55.6093588086939,0.85241127,147.224520661053,-43.6156548912594,3991.474
PR_20100604_072936_342_LC16.tif,-490.640021113055,93.7818877271175,55.6581279258431,0.9170939,147.224521865269,-43.6156557530975,3992.507
PR_20100604_072937_289_LC16.tif,-490.629423483586,93.8461315897424,55.63288853042,0.95742637,147.224521996612,-43.6156551748765,3993.454
PR_20100604_072940_299_LC16.tif,-491.725327146234,94.5882885825616,54.5932357827156,0.9820188,147.22450842104,-43.615648494358,3996.464
