longitude,latitude,trackid,cluster
147.224626829409,-43.615567524553605,0,5
147.22462841386002,-43.6155730327798,0,5
147.224625521362,-43.6155727206724,1,5
147.22462434423,-43.61557475636211,1,5
147.22457936486,-43.6156061723317,2,5
147.224580072555,-43.61561066260679,2,5
147.224609327807,-43.6155711166851,3,5
147.224623156446,-43.6155524676631,4,5
147.22460525862,-43.615564907863394,5,5
147.224604487694,-43.6155684183312,5,5
147.22460351873002,-43.6155737253921,6,5
147.224604077671,-43.615579556434405,6,5
147.224557287836,-43.6156002738853,7,5
147.224557320628,-43.6156081220218,7,5
147.224552579868,-43.6155916107271,8,5
147.22455313357798,-43.6155872194767,8,5
147.224568294113,-43.6155796359301,9,5
147.224569542626,-43.615574767065894,9,5
147.224569021941,-43.6155735401675,10,5
147.224568720414,-43.615576206473996,10,5
147.22456436477,-43.61557849350229,11,5
147.224562803616,-43.6155782415168,11,5
147.224590755522,-43.615537612596206,12,5
147.22464227952,-43.615588600121406,13,2
147.224639876979,-43.615592358423,13,2
147.224651589602,-43.6155992062155,14,2
147.224651347736,-43.6156010138038,14,2
147.224670785793,-43.615604118730005,15,2
147.224673907849,-43.6156076873669,15,2
147.22469337919398,-43.6156145000988,16,2
147.224693762087,-43.615610378361204,16,2
147.224694697931,-43.615606516450605,17,2
147.224694813708,-43.615602977757504,17,2
147.22466814407102,-43.6156038693019,18,2
147.224669393072,-43.615608206154,18,2
147.224653002553,-43.615609633149994,19,2
147.224655655947,-43.615603043177,19,2
147.224655528323,-43.6155976359859,20,2
147.224653454822,-43.6156030950496,20,2
147.22464267403,-43.6155982705124,21,2
147.22464241068002,-43.61559268659779,21,2
147.22465341054502,-43.6155905115501,22,2
147.224657126067,-43.615582772509,22,2
147.224636585632,-43.61558052952889,23,2
147.224631013558,-43.6156487302818,24,7
147.224632303093,-43.615653337093896,24,7
147.224614989368,-43.6156636981924,25,7
147.22461523972,-43.615667630573796,25,7
147.224610503611,-43.615640858408796,26,7
147.22460876780198,-43.615638887473004,26,7
147.224611516626,-43.615648444910896,27,7
147.224611364343,-43.6156544696906,27,7
147.224619238482,-43.6156389291256,28,7
147.224621801603,-43.615645378135795,28,7
147.224611295538,-43.6156444397217,29,7
147.224612313392,-43.615637811420896,29,7
147.224586929286,-43.6156788901093,30,4
147.224585810166,-43.6156813782016,30,4
147.22458361573499,-43.615684771095,31,4
147.224580034512,-43.6156873623816,31,4
147.22456888422101,-43.615648270085,32,4
147.224569429139,-43.6156460401798,32,4
147.22457168116898,-43.6156542325401,33,4
147.224572340807,-43.6156526598068,33,4
147.22457057884,-43.6156445766095,34,4
147.224574438931,-43.61565049618711,34,4
147.22455988802201,-43.6156866411463,35,4
147.224577266586,-43.6156831720228,36,4
147.224577051386,-43.6156793104471,36,4
147.22458219801902,-43.615648866875894,37,4
147.224583162467,-43.6156526678573,37,4
147.224583286048,-43.61565445490721,38,4
147.224581883618,-43.6156550197401,38,4
147.224578632049,-43.6156558556153,39,4
147.224576330586,-43.6156574177036,39,4
147.224556938001,-43.615663177030605,40,4
147.22455860020398,-43.6156720086358,40,4
147.224561780859,-43.6156516649148,41,4
147.224573195329,-43.6156390585038,42,4
147.224576236539,-43.61564561883579,42,4
147.224557137973,-43.6156551144472,43,4
147.224559965489,-43.615660701977795,43,4
147.224555531632,-43.615661188658294,44,4
147.224552550445,-43.6156543985489,44,4
147.224563227002,-43.6156468325258,45,4
147.224565492737,-43.6156398823027,46,4
147.22456624822,-43.615633520640706,46,4
147.22455002343398,-43.6156452425793,47,4
147.224749221168,-43.6155430602429,48,1
147.224751949109,-43.615540273570396,48,1
147.22475557686002,-43.615533454538294,49,1
147.224759174173,-43.6155277933931,49,1
147.224752698148,-43.615499404427005,50,1
147.22471218967502,-43.615499221319396,51,1
147.22471209619601,-43.61549424662871,51,1
147.22474386918802,-43.6154777108681,52,1
147.22474738782802,-43.6154721729307,52,1
147.224743952257,-43.6154829381923,53,1
147.224739522362,-43.6154827722834,53,1
147.224737539453,-43.6154827402071,54,1
147.224734261917,-43.6154820876575,54,1
147.22453570221901,-43.6156592679194,55,0
147.224534978689,-43.6156639194858,55,0
147.224534527169,-43.6156691281918,55,0
147.224538037657,-43.6156272320471,56,0
147.224538621136,-43.615628068737294,56,0
147.224540696199,-43.6156311557156,56,0
147.22454354838,-43.615635301638605,57,0
147.22454673679502,-43.61564065777329,57,0
147.224532884459,-43.6156439041057,58,0
147.224521865269,-43.6156557530975,59,0
147.224521996612,-43.6156551748765,59,0
147.224507670311,-43.6156504830803,60,0
147.2245076763,-43.61565343280029,60,0
147.224508712094,-43.6156442858759,61,0
147.224512170332,-43.615633413470604,62,0
147.22448933502702,-43.615646101376896,63,0
147.22449151903,-43.6156447833568,63,0
147.224508090335,-43.6156097890498,64,0
147.22450836394302,-43.6156166589889,64,0
147.224499480161,-43.615616035189,65,0
147.224491056945,-43.615614567361796,65,0
147.224506515576,-43.6155836058521,66,0
147.224506781138,-43.615586659427,66,0
147.22450544079902,-43.615592627326095,67,0
147.224505276347,-43.615598995233796,67,0
147.224683448467,-43.6155420310065,68,3
147.224685971047,-43.6155366401996,68,3
147.224687857584,-43.6155327561069,69,3
147.224691352103,-43.61553008851521,69,3
147.224676765364,-43.6155085376859,70,3
147.224652519345,-43.6155241291691,71,3
147.224655818585,-43.615517225335296,71,3
147.224637358603,-43.6155146481526,72,3
147.224637081149,-43.615515047081296,72,3
147.224635900899,-43.615514745213204,73,3
147.22463444924801,-43.6155147671564,73,3
147.22463871831002,-43.6155209831814,74,3
147.22464160225002,-43.6155262000967,74,3
147.22461317294,-43.6155282321488,75,3
147.224612936689,-43.6155220811884,75,3
147.22463109318198,-43.615501455111996,76,3
147.224655084046,-43.61548669574329,77,3
147.224655811675,-43.6154874706357,77,3
147.224621471235,-43.6154966410032,78,3
147.224623621425,-43.6154995486349,78,3
147.224625839544,-43.615505148411295,79,3
147.224629059409,-43.615510133179995,79,3
147.22461181937402,-43.6154976055801,80,3
147.224614201082,-43.6154902343876,80,3
